"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
719482,"occ",,,77209,"Izikoziphius n. sp. angustus","species",113819,"","Izikoziphius angustus","species",113819,"Middle Miocene","Late Miocene",15.97,5.333,26136
719492,"occ",,,77211,"n. gen. Pterocetus n. sp. benguelae","species",113832,"","Pterocetus benguelae","species",113832,"Middle Miocene","Pliocene",15.97,2.588,26136
722390,"occ",,,77492,"cf. Tursiops sp.","genus",36865,"","Tursiops","genus",36865,"Zanclean","",5.333,3.6,26217
722456,"occ",,,48887,"Physeteridae indet.","family",42967,"","Physeteridae","family",42967,"Serravallian","",13.82,11.62,26220
722481,"occ",,,52582,"Megaptera sp.","genus",36760,"","Megaptera","genus",36760,"Zanclean","",5.333,3.6,26220
723639,"occ",,,77694,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"Middle Miocene","Pleistocene",15.97,0.0117,26241
724130,"occ",,,58419,"Delphinus sp.","genus",36703,"","Delphinus","genus",36703,"Middle Pleistocene","",0.781,0.126,26261
730609,"occ",,,78510,"Mysticeti indet.","suborder",42971,"","Mysticeti","suborder",42971,"Serravallian","",13.82,11.62,26394
730616,"occ",,,78519,"Mysticeti indet.","suborder",42971,"","Mysticeti","suborder",42971,"Serravallian","Tortonian",13.82,7.246,26394
738565,"occ",32024,,79346,"Basilosauridae ? indet.","family",42936,"","Basilosauridae","family",42936,"Bortonian","Kaiatan",43,36,12845
741740,"occ",,,79726,"Monodontidae indet.","family",42963,"","Monodontidae","family",42963,"Zanclean","",5.333,3.6,26798
755692,"occ",,,80914,"Odontoceti indet.","suborder",42937,"","Odontoceti","suborder",42937,"Early Miocene","",23.03,15.97,27227
766661,"occ",,,20643,"Delphinapterus ? sp.","genus",36699,"","Delphinapterus","genus",36699,"Late Pleistocene","",0.126,0.0117,2872
777717,"occ",,,83478,"Kogia breviceps","species",64510,"","Kogia breviceps","species",64509,"Holocene","",0.0117,0,27683
777729,"occ",,,83490,"Physeter macrocephalus","species",68698,"","Physeter macrocephalus","species",68698,"Holocene","",0.0117,0,27683
782527,"occ",,,84332,"Aetiocetus cotylalveus","species",63473,"","Aetiocetus cotylalveus","species",63473,"Rupelian","",33.9,28.1,28334
786789,"occ",,,84888,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"Late Pleistocene","",0.126,0.0117,2018
786941,"occ",,,84945,"Delphinus n. sp. acutidens","species",63972,"subjective synonym of","Physeterula dubusi","species",64464,"Miocene","",23.03,5.333,23603
787179,"occ",,,49982,"Delphinapterus n. sp. orcinus","species",112864,"nomen dubium","Odontoceti","suborder",42937,"Zanclean","",5.333,3.6,13421
787587,"occ",,,57780,"Hoplocetus n. sp. crassidens","species",64696,"","Hoplocetus crassidens","species",64696,"Burdigalian","",20.44,15.97,24709
787658,"occ",,,77581,"Orycterocetus quadratidens","species",63668,"","Orycterocetus quadratidens","species",63668,"Zanclean","",5.333,3.6,13727
788249,"occ",,,76978,"n. gen. Priscophyseter n. sp. typus","species",63952,"","Priscophyseter typus","species",63952,"Pliocene","",5.333,2.588,13952
789235,"occ",,,20646,"Cetacea indet.","unranked clade",147596,"","Cetacea","unranked clade",36652,"Late Pleistocene","",0.126,0.0117,28773
789824,"occ",,,57732,"Squalodon grateloupi","species",64511,"misspelling of, obsolete variant of","Squalodon grateloupii","species",63728,"Burdigalian","",20.44,15.97,28853
789835,"occ",,,85338,"Squalodon sp.","genus",36852,"","Squalodon","genus",36852,"Neogene","",23.03,2.588,28855
790124,"occ",,,85507,"Pachyacanthus suessi","species",138658,"misspelling of, obsolete variant of","Pachyacanthus suessii","species",64470,"Miocene","",23.03,5.333,18748
797035,"occ",,,86616,"Archaeoceti indet.","suborder",42933,"","Archaeoceti","suborder",42933,"Priabonian","",38,33.9,15072
798728,"occ",,,86897,"Delphinus (Grampus) n. sp. heavisidei","species",82043,"species not entered","Grampus","genus",82043,"Holocene","",0.0117,0,12161
798824,"occ",,,86919,"Mesoplodon n. sp. bowdoini","species",81915,"","Mesoplodon bowdoini","species",81915,"Holocene","",0.0117,0,12161
798942,"occ",,,86924,"Balaenoptera n. sp. acutorostrata","species",68469,"","Balaenoptera acutorostrata","species",68469,"Holocene","",0.0117,0,12161
802472,"occ",,,53889,"Balaenoptera borealina","species",64865,"nomen dubium","Balaenopteridae","family",42977,"Late Miocene","",11.608,5.333,29207
803459,"occ",,,87489,"Delphinidae indet.","family",42953,"","Delphinidae","family",42953,"Zanclean","",5.333,3.6,29458
804481,"occ",,,76977,"Delphinus sp.","genus",36703,"","Delphinus","genus",36703,"Pliocene","",5.333,2.588,29503
805125,"occ",,,87865,"Odontoceti indet.","suborder",42937,"","Odontoceti","suborder",42937,"Tortonian","Messinian",11.62,5.333,12682
805312,"occ",,,74593,"Delphinoidea indet.","superfamily",53268,"","Delphinoidea","superfamily",53268,"Waitakian","",25.2,21.7,29544
805313,"occ",,,87865,"Eurhinodelphinidae indet.","family",53264,"","Eurhinodelphinidae","family",63595,"Tortonian","Messinian",11.62,5.333,29544
805335,"occ",,,74593,"Squalodelphinidae indet.","family",53261,"","Squalodelphinidae","family",63677,"Waitakian","",25.2,21.7,29544
813340,"occ",,,89447,"Stenella sp.","genus",102903,"","Stenella","genus",36854,"Zanclean","",5.333,3.6,16749
813618,"occ",,,67027,"Balaenoptera musculoides","species",64864,"nomen dubium","Balaenopteridae","family",42977,"Zanclean","",5.333,3.6,19106
813622,"occ",,,57783,"Balaenoptera musculoides","species",64864,"nomen dubium","Balaenopteridae","family",42977,"Pliocene","",5.333,2.588,19106
813825,"occ",,,45665,"Lophocephalus parki","species",63214,"recombined as","Mauicetus parki","species",63214,"Duntroonian","",27.3,25.2,12036
819714,"occ",,,90111,"Orcinus orca","species",64541,"","Orcinus orca","species",64540,"Holocene","",0.0117,0,30226
830778,"occ",,,91707,"Mysticeti indet.","suborder",42971,"","Mysticeti","suborder",42971,"Pleistocene","Holocene",2.588,0,30915
872891,"occ",,,96776,"Physeter sp.","genus",36807,"","Physeter","genus",36807,"Pliocene","",5.333,2.588,32997
878720,"occ",,,45474,"Odontoceti indet.","suborder",42937,"","Odontoceti","suborder",42937,"Zanclean","",5.333,3.6,33248
899607,"occ",,,100260,"Allodelphis n. sp. woodburnei","species",173470,"","Allodelphis woodburnei","species",173470,"Aquitanian","",23.03,20.44,34413
922238,"occ",,,105557,"Haborophocoena n. sp. minutus","species",178171,"","Haborophocoena minutus","species",178171,"Zanclean","",5.333,3.6,35264
929105,"occ",,,106269,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"Messinian","",7.246,5.333,35412
937671,"occ",,,108319,"Orcaella heinsohni","species",183834,"","Orcaella heinsohni","species",183834,"Holocene","",0.0117,0,35929
938109,"occ",,,102954,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"Late Pleistocene","Holocene",0.126,0,35949
994438,"occ",,,120143,"Neobalaenidae indet.","subfamily",53255,"obsolete variant of","Neobalaeninae","subfamily",53255,"Late Miocene","",11.608,5.333,38453
1002229,"occ",,,121998,"Waipatiidae indet.","family",53260,"","Waipatiidae","family",53260,"Burdigalian","",20.44,15.97,38808
1006777,"occ",,,122718,"Basilosaurus cetoides","species",53153,"","Basilosaurus cetoides","species",63132,"Priabonian","",38,33.9,36198
1012812,"occ",,,123861,"n. gen. Meherrinia n. sp. isoni","species",217405,"","Meherrinia isoni","species",217405,"Messinian","",7.246,5.333,39849
1015449,"occ",,,54171,"Cetotheriidae ? indet.","family",42973,"","Cetotheriidae","family",66751,"Serravallian","",13.82,11.62,40073
1021009,"occ",,,124990,"Dorudon atrox","species",53288,"","Dorudon atrox","species",62994,"Priabonian","",38,33.9,10457
1021014,"occ",,,124994,"Dorudon atrox","species",53288,"","Dorudon atrox","species",62994,"Priabonian","",38,33.9,10457
1021018,"occ",,,124998,"Dorudon atrox","species",53288,"","Dorudon atrox","species",62994,"Bartonian","Priabonian",41.3,33.9,10457
1021057,"occ",,,125025,"Dorudon atrox","species",53288,"","Dorudon atrox","species",62994,"Priabonian","",38,33.9,10457
1034770,"occ",26835,,123876,"Basilosauridae indet.","family",42936,"","Basilosauridae","family",42936,"Priabonian","",38,33.9,44050
1069251,"occ",,,132392,"Archaeoceti indet.","suborder",42933,"","Archaeoceti","suborder",42933,"Eocene","",56,33.9,42656
1069864,"occ",,,132552,"Basilosauridae indet.","family",42936,"","Basilosauridae","family",42936,"Priabonian","",38,33.9,42488
1070486,"occ",,,132705,"Basilosauridae indet.","family",42936,"","Basilosauridae","family",42936,"Eocene","",56,33.9,42488
1071635,"occ",,,32901,"Cetacea indet.","unranked clade",36652,"","Cetacea","unranked clade",36652,"Lutetian","",47.8,41.3,42488
1107491,"occ",,,96952,"Masracetus sp.","genus",118888,"","Masracetus","genus",118888,"Priabonian","",38,33.9,45231
1115160,"occ",,,52073,"Cetotherium n. sp. riabinini","species",264012,"","Cetotherium riabinini","species",264012,"Tortonian","",11.62,7.246,45968
1126110,"occ",,,47427,"Ziphiidae indet.","family",42951,"","Ziphiidae","family",42951,"Burdigalian","",20.44,15.97,15052
1126116,"occ",,,96780,"Kentriodontidae indet.","family",42938,"","Kentriodontidae","family",42938,"Tortonian","",11.62,7.246,46366
1127399,"occ",,,47427,"Iniidae indet.","family",53142,"","Iniidae","family",93947,"Burdigalian","",20.44,15.97,46388
1190622,"occ",,,117470,"cf. Balaenoptera sp.","genus",36678,"","Balaenoptera","genus",36678,"Messinian","",7.246,5.333,49737
1190970,"occ",,,153827,"Delphinidae ? indet.","family",42953,"","Delphinidae","family",42953,"Piacenzian","",3.6,2.588,49844
1190972,"occ",,,153829,"Balaenopteridae ? indet.","family",42977,"","Balaenopteridae","family",42977,"Zanclean","",5.333,3.6,49844
1195560,"occ",,,154642,"Odobenocetops sp.","genus",62922,"","Odobenocetops","genus",62922,"Tortonian","Messinian",11.62,5.333,50270
1196175,"occ",,,57734,"Cetotherium n. sp. klinderi","species",69835,"invalid subgroup of","Chaeomysticeti","unranked clade",53254,"Sarmatian","",12.7,11.608,11981
1197686,"occ",,,55600,"Iniidae indet.","family",53142,"","Iniidae","family",93947,"Huayquerian","",9,6.8,50417
1198043,"occ",,,154939,"Herpetocetus morrowi","species",288162,"","Herpetocetus morrowi","species",288162,"Piacenzian","",3.6,2.588,49971
1204812,"occ",,,156031,"Agorophius pygmaeus","species",63210,"","Agorophius pygmaeus","species",63209,"Chattian","",28.1,23.03,43401
1217433,"occ",,,159112,"Dorudon atrox","species",53288,"","Dorudon atrox","species",62994,"Priabonian","",38,33.9,52063
1217439,"occ",,,159115,"cf. Stromerius sp.","genus",118886,"","Stromerius","genus",118886,"Priabonian","",38,33.9,52063
1225219,"occ",,,160850,"Balaena mysticetus","species",64683,"","Balaena mysticetus","species",64683,"Holocene","",0.0117,0,52465
1243354,"occ",,,163843,"Delphinida indet.","infraorder",63496,"","Delphinida","infraorder",63496,"Laventan","",13.8,11.8,53470
1261889,"occ",,,91482,"Agorophius pygmaeus","species",63210,"","Agorophius pygmaeus","species",63209,"Rupelian","",33.9,28.1,43401
1264526,"occ",,,167964,"Balaenoptera physalus","species",64490,"","Balaenoptera physalus","species",72269,"Holocene","",0.0117,0,54978
1264532,"occ",,,167970,"Megaptera novaeangliae","species",70685,"","Megaptera novaeangliae","species",64491,"Holocene","",0.0117,0,54979
1264533,"occ",,,167971,"Megaptera novaeangliae","species",70685,"","Megaptera novaeangliae","species",64491,"Holocene","",0.0117,0,54979
1264543,"occ",,,167981,"Cephalorhynchus heavisidii","species",82045,"","Cephalorhynchus heavisidii","species",82044,"Holocene","",0.0117,0,54983
1265925,"occ",,,168101,"Stenella attenuata","species",64533,"","Stenella attenuata","species",93945,"Holocene","",0.0117,0,55062
1266046,"occ",,,168146,"Grampus griseus","species",63557,"","Grampus griseus","species",63556,"Holocene","",0.0117,0,55079
1266049,"occ",,,168148,"Grampus griseus","species",63557,"","Grampus griseus","species",63556,"Holocene","",0.0117,0,55079
1266079,"occ",,,168180,"Pseudorca crassidens","species",64544,"","Pseudorca crassidens","species",64543,"Holocene","",0.0117,0,55081
1266109,"occ",,,168209,"Globicephala macrorhynchus","species",69995,"","Globicephala macrorhynchus","species",69994,"Holocene","",0.0117,0,55082
